Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],RUL,Source
298.1,308.6,1551.0,42.8,0,50,AI4I
298.2,308.7,1408.0,46.3,3,49,AI4I
298.1,308.5,1498.0,49.4,5,48,AI4I
298.2,308.6,1433.0,39.5,7,47,AI4I
298.2,308.7,1408.0,40.0,9,46,AI4I
298.1,308.6,1425.0,41.9,11,45,AI4I
298.1,308.6,1558.0,42.4,14,44,AI4I
298.1,308.6,1527.0,40.2,16,43,AI4I
298.3,308.7,1667.0,28.6,18,42,AI4I
298.5,309.0,1741.0,28.0,21,41,AI4I
298.4,308.9,1782.0,23.9,24,40,AI4I
298.6,309.1,1423.0,44.3,29,39,AI4I
298.6,309.1,1339.0,51.1,34,38,AI4I
298.6,309.2,1742.0,30.0,37,37,AI4I
298.6,309.2,2035.0,19.6,40,36,AI4I
298.6,309.2,1542.0,48.4,42,35,AI4I
298.6,309.2,1311.0,46.6,44,34,AI4I
298.7,309.2,1410.0,45.6,47,33,AI4I
298.8,309.2,1306.0,54.5,50,32,AI4I
298.9,309.3,1632.0,32.5,55,31,AI4I
298.9,309.3,1375.0,42.7,58,30,AI4I
298.8,309.3,1450.0,44.8,63,29,AI4I
298.9,309.3,1581.0,30.7,65,28,AI4I
299.0,309.4,1758.0,25.7,68,27,AI4I
299.0,309.4,1561.0,37.3,70,26,AI4I
299.0,309.5,1861.0,23.3,73,25,AI4I
299.1,309.5,1512.0,39.0,75,24,AI4I
299.1,309.4,1811.0,24.6,77,23,AI4I
299.1,309.4,1439.0,44.2,82,22,AI4I
299.0,309.4,1693.0,30.1,84,21,AI4I
299.1,309.5,1339.0,48.2,86,20,AI4I
299.0,309.4,1798.0,25.5,89,19,AI4I
299.0,309.4,1419.0,48.3,91,18,AI4I
298.9,309.3,1665.0,32.5,93,17,AI4I
298.8,309.1,1559.0,34.7,95,16,AI4I
298.8,309.2,1452.0,48.6,98,15,AI4I
298.9,309.2,1581.0,36.7,101,14,AI4I
298.8,309.1,1439.0,39.2,104,13,AI4I
298.9,309.2,1379.0,50.7,106,12,AI4I
298.8,309.1,1350.0,52.5,111,11,AI4I
298.8,309.1,1362.0,45.4,113,10,AI4I
298.8,309.1,1368.0,50.8,115,9,AI4I
298.8,309.1,1368.0,49.1,117,8,AI4I
298.8,309.2,1372.0,48.5,120,7,AI4I
298.8,309.1,1472.0,47.5,125,6,AI4I
298.8,309.1,1489.0,49.1,128,5,AI4I
298.7,309.0,1843.0,25.8,130,4,AI4I
298.8,309.1,1418.0,46.3,133,3,AI4I
298.8,309.2,1425.0,53.9,135,2,AI4I
298.9,309.2,1412.0,44.1,140,1,AI4I
298.9,309.1,2861.0,4.6,143,0,AI4I
298.9,309.1,1383.0,54.9,145,18,AI4I
298.8,309.0,1497.0,43.8,147,17,AI4I
298.7,309.0,1565.0,35.1,152,16,AI4I
298.7,309.0,1691.0,30.1,154,15,AI4I
298.8,309.1,1512.0,40.7,156,14,AI4I
298.8,309.1,1477.0,42.4,158,13,AI4I
298.8,309.1,1513.0,40.3,160,12,AI4I
298.8,309.0,1661.0,29.5,162,11,AI4I
298.8,309.1,1378.0,54.4,165,10,AI4I
298.8,309.1,1393.0,52.6,167,9,AI4I
298.8,309.0,1592.0,38.2,169,8,AI4I
298.8,309.0,1829.0,22.9,172,7,AI4I
298.9,309.0,1812.0,25.9,174,6,AI4I
299.0,309.1,1523.0,38.6,177,5,AI4I
299.0,309.1,1394.0,45.1,179,4,AI4I
298.9,308.9,1679.0,28.7,181,3,AI4I
298.8,308.9,1466.0,44.1,184,2,AI4I
298.8,308.9,1527.0,32.4,189,1,AI4I
298.9,309.0,1410.0,65.7,191,0,AI4I
298.9,309.0,1924.0,22.6,193,7,AI4I
298.9,309.1,1452.0,45.5,196,6,AI4I
298.9,309.1,1369.0,44.4,198,5,AI4I
299.0,309.1,1592.0,35.0,200,4,AI4I
298.9,309.0,1601.0,32.3,202,3,AI4I
298.8,308.9,1379.0,46.7,204,2,AI4I
298.8,308.9,1461.0,47.9,206,1,AI4I
298.8,308.9,1455.0,41.3,208,0,AI4I
298.8,308.9,1398.0,51.5,0,82,AI4I
298.8,308.9,1402.0,37.9,2,81,AI4I
298.8,308.8,1445.0,49.9,4,80,AI4I
298.9,308.9,1450.0,47.5,9,79,AI4I
298.9,308.9,1453.0,40.8,11,78,AI4I
299.0,309.0,1469.0,40.1,13,77,AI4I
298.9,308.9,1422.0,47.6,15,76,AI4I
299.0,309.0,1804.0,26.8,17,75,AI4I
299.0,309.0,1436.0,43.9,20,74,AI4I
299.0,309.0,1544.0,31.8,25,73,AI4I
299.0,309.0,1419.0,45.2,27,72,AI4I
298.9,308.9,1487.0,39.5,30,71,AI4I
298.9,308.9,1753.0,25.8,33,70,AI4I
298.9,308.9,1830.0,24.9,35,69,AI4I
298.9,308.9,1727.0,27.1,37,68,AI4I
299.1,309.0,1450.0,43.0,40,67,AI4I
299.0,308.9,1622.0,31.9,42,66,AI4I
299.0,309.0,1351.0,52.2,44,65,AI4I
299.0,309.0,1575.0,35.3,47,64,AI4I
298.9,308.9,1750.0,29.9,50,63,AI4I
298.9,308.8,1529.0,32.7,53,62,AI4I
298.8,308.8,1523.0,44.4,55,61,AI4I
298.8,308.9,1852.0,25.0,57,60,AI4I
298.8,308.8,1991.0,20.7,59,59,AI4I
298.8,308.8,1555.0,40.6,61,58,AI4I
298.8,308.8,1441.0,40.5,63,57,AI4I
298.8,308.7,1450.0,43.4,66,56,AI4I
298.8,308.7,1591.0,31.1,68,55,AI4I
298.8,308.7,1445.0,48.5,70,54,AI4I
298.8,308.8,1497.0,46.8,72,53,AI4I
298.9,308.8,1621.0,32.7,75,52,AI4I
298.9,308.7,1572.0,34.1,80,51,AI4I
298.8,308.6,1872.0,22.5,82,50,AI4I
298.7,308.6,1499.0,43.5,84,49,AI4I
298.8,308.7,1498.0,39.5,89,48,AI4I
298.8,308.6,1486.0,41.9,92,47,AI4I
298.8,308.6,1680.0,29.4,95,46,AI4I
298.8,308.6,1431.0,45.7,97,45,AI4I
298.9,308.7,1564.0,34.1,99,44,AI4I
298.8,308.6,1599.0,33.0,101,43,AI4I
298.8,308.6,1707.0,28.1,103,42,AI4I
298.7,308.5,1467.0,40.7,106,41,AI4I
298.9,308.7,1433.0,44.7,108,40,AI4I
298.9,308.7,1558.0,41.2,110,39,AI4I
299.0,308.8,1310.0,50.7,112,38,AI4I
298.9,308.7,1546.0,43.4,114,37,AI4I
298.9,308.7,1727.0,29.4,116,36,AI4I
298.9,308.6,1560.0,32.2,118,35,AI4I
299.0,308.6,1329.0,60.5,120,34,AI4I
298.9,308.6,1413.0,46.5,122,33,AI4I
299.0,308.6,1587.0,38.6,124,32,AI4I
298.9,308.5,1559.0,34.3,126,31,AI4I
298.8,308.4,1473.0,41.1,128,30,AI4I
298.8,308.4,1737.0,27.7,130,29,AI4I
298.7,308.4,1441.0,43.2,132,28,AI4I
298.7,308.4,1430.0,49.6,135,27,AI4I
298.8,308.4,1369.0,53.0,138,26,AI4I
298.8,308.5,1711.0,28.5,140,25,AI4I
298.7,308.5,1420.0,45.7,143,24,AI4I
298.7,308.6,1297.0,55.3,148,23,AI4I
298.8,308.6,1449.0,49.4,150,22,AI4I
298.8,308.6,1268.0,55.8,155,21,AI4I
298.8,308.6,1511.0,36.1,157,20,AI4I
298.7,308.5,1544.0,35.2,159,19,AI4I
298.6,308.4,1778.0,28.2,161,18,AI4I
298.6,308.4,1407.0,50.5,164,17,AI4I
298.6,308.4,1391.0,42.4,169,16,AI4I
298.5,308.4,1513.0,33.6,172,15,AI4I
298.5,308.4,1612.0,36.1,174,14,AI4I
298.4,308.4,1515.0,40.1,179,13,AI4I
298.3,308.3,1379.0,48.0,181,12,AI4I
298.4,308.3,1473.0,39.9,184,11,AI4I
298.4,308.3,1422.0,42.7,186,10,AI4I
298.4,308.2,1463.0,37.6,188,9,AI4I
298.4,308.2,1584.0,41.0,191,8,AI4I
298.4,308.2,1850.0,27.0,194,7,AI4I
298.4,308.2,1528.0,36.2,196,6,AI4I
298.4,308.2,1987.0,19.8,198,5,AI4I
298.4,308.1,1495.0,46.0,203,4,AI4I
298.4,308.2,1478.0,43.5,206,3,AI4I
298.4,308.2,1499.0,40.0,211,2,AI4I
298.4,308.2,1471.0,47.0,214,1,AI4I
298.4,308.2,1282.0,60.7,216,0,AI4I
298.3,308.1,1412.0,52.3,218,0,AI4I
298.3,308.1,1586.0,35.5,0,6,AI4I
298.4,308.2,1468.0,43.8,2,5,AI4I
298.5,308.3,1440.0,43.6,5,4,AI4I
298.5,308.4,1733.0,26.0,8,3,AI4I
298.4,308.2,1612.0,32.6,10,2,AI4I
298.4,308.3,1458.0,42.9,15,1,AI4I
298.4,308.3,1433.0,62.3,20,0,AI4I
298.4,308.3,1318.0,59.1,22,25,AI4I
298.4,308.2,1610.0,35.0,24,24,AI4I
298.2,308.1,1462.0,50.8,27,23,AI4I
298.1,308.0,1924.0,20.8,29,22,AI4I
298.2,308.0,1591.0,33.7,32,21,AI4I
298.2,308.1,1306.0,58.3,35,20,AI4I
298.2,308.1,1382.0,43.5,37,19,AI4I
298.2,308.1,1618.0,34.7,39,18,AI4I
298.2,308.2,1988.0,21.4,41,17,AI4I
298.2,308.2,1436.0,50.2,43,16,AI4I
298.2,308.3,1304.0,49.8,45,15,AI4I
298.2,308.3,1475.0,49.9,47,14,AI4I
298.2,308.3,1824.0,24.2,49,13,AI4I
298.1,308.2,1342.0,48.1,54,12,AI4I
298.1,308.2,1485.0,40.7,57,11,AI4I
298.2,308.2,1667.0,30.6,59,10,AI4I
298.2,308.2,1446.0,38.2,61,9,AI4I
298.1,308.3,1301.0,56.0,63,8,AI4I
298.2,308.4,1379.0,43.1,65,7,AI4I
298.3,308.5,1606.0,33.6,67,6,AI4I
298.3,308.4,1539.0,43.4,69,5,AI4I
298.2,308.4,1477.0,49.9,72,4,AI4I
298.2,308.4,1666.0,34.6,74,3,AI4I
298.2,308.4,1398.0,51.8,76,2,AI4I
298.2,308.4,1678.0,34.6,81,1,AI4I
298.2,308.5,2678.0,10.7,86,0,AI4I
298.3,308.5,1453.0,42.9,89,12,AI4I
298.3,308.6,1432.0,49.5,91,11,AI4I
298.4,308.6,1527.0,40.9,96,10,AI4I
298.4,308.7,1588.0,35.0,99,9,AI4I
298.4,308.6,1433.0,47.1,101,8,AI4I
298.4,308.6,1609.0,35.0,103,7,AI4I
298.3,308.5,1575.0,41.2,105,6,AI4I
298.4,308.5,1636.0,35.7,107,5,AI4I
298.4,308.5,1490.0,37.9,110,4,AI4I
298.4,308.5,1741.0,32.8,112,3,AI4I
298.5,308.6,1344.0,53.0,114,2,AI4I
298.5,308.7,1609.0,35.3,117,1,AI4I
298.4,308.7,1421.0,60.7,119,0,AI4I
298.4,308.6,1591.0,36.7,122,34,AI4I
298.4,308.6,1477.0,44.0,124,33,AI4I
298.4,308.7,1523.0,36.1,126,32,AI4I
298.5,308.7,1575.0,33.9,128,31,AI4I
298.4,308.7,1344.0,52.9,130,30,AI4I
298.4,308.7,1386.0,44.9,135,29,AI4I
298.3,308.6,1589.0,37.1,137,28,AI4I
298.3,308.6,1548.0,40.3,140,27,AI4I
298.3,308.6,1499.0,38.3,142,26,AI4I
298.3,308.5,1664.0,31.6,144,25,AI4I
298.3,308.6,1447.0,38.1,146,24,AI4I
298.3,308.5,1434.0,46.2,148,23,AI4I
298.3,308.5,1416.0,52.7,151,22,AI4I
298.4,308.5,1827.0,24.3,153,21,AI4I
298.4,308.6,1304.0,45.0,158,20,AI4I
298.4,308.6,1569.0,34.4,160,19,AI4I
298.3,308.6,1584.0,29.3,162,18,AI4I
298.3,308.5,1362.0,53.8,164,17,AI4I
298.3,308.4,1329.0,49.2,166,16,AI4I
298.3,308.5,1539.0,36.1,168,15,AI4I
298.3,308.5,1629.0,37.1,170,14,AI4I
298.3,308.5,1538.0,32.2,173,13,AI4I
298.3,308.6,1570.0,34.8,175,12,AI4I
298.3,308.4,1408.0,43.1,177,11,AI4I
298.2,308.4,1424.0,47.6,179,10,AI4I
298.2,308.4,1512.0,34.9,181,9,AI4I
298.2,308.4,1478.0,42.9,183,8,AI4I
298.1,308.3,1680.0,33.7,185,7,AI4I
298.1,308.3,1495.0,38.7,188,6,AI4I
298.0,308.1,1552.0,36.6,190,5,AI4I
297.9,308.1,1393.0,50.3,193,4,AI4I
298.0,308.2,1611.0,30.6,195,3,AI4I
298.0,308.1,1339.0,51.6,197,2,AI4I
298.0,308.1,1777.0,24.3,200,1,AI4I
298.0,308.2,1348.0,58.8,202,0,AI4I
298.0,308.2,1442.0,44.1,204,5,AI4I
298.0,308.2,1395.0,49.1,206,4,AI4I
297.9,308.1,1627.0,31.4,209,3,AI4I
297.9,308.1,1585.0,33.5,212,2,AI4I
298.0,308.2,1469.0,45.5,214,1,AI4I
298.0,308.3,1362.0,56.8,216,0,AI4I
298.0,308.3,1405.0,56.2,218,0,AI4I
298.0,308.3,1662.0,32.7,0,9,AI4I
298.0,308.2,1466.0,42.6,2,8,AI4I
298.0,308.2,1620.0,35.8,5,7,AI4I
298.0,308.2,1357.0,48.2,7,6,AI4I
298.0,308.2,1514.0,37.9,9,5,AI4I
298.0,308.2,1489.0,40.4,11,4,AI4I
298.1,308.3,1331.0,63.0,13,3,AI4I
298.0,308.0,1615.0,29.5,15,2,AI4I
298.1,308.2,1482.0,37.9,17,1,AI4I
298.1,308.2,1420.0,63.9,19,0,AI4I
298.2,308.3,1522.0,49.1,22,67,AI4I
298.1,308.2,1654.0,32.1,25,66,AI4I
298.1,308.2,1736.0,26.8,27,65,AI4I
298.0,308.1,1587.0,32.3,30,64,AI4I
298.1,308.2,1390.0,47.5,33,63,AI4I
298.0,308.1,1454.0,37.1,35,62,AI4I
298.0,308.1,1440.0,43.7,37,61,AI4I
297.9,308.0,1954.0,21.1,42,60,AI4I
297.9,308.0,1800.0,24.8,44,59,AI4I
298.0,308.0,1524.0,37.0,49,58,AI4I
298.0,308.0,1520.0,39.6,51,57,AI4I
298.1,308.1,1452.0,40.8,56,56,AI4I
298.1,308.1,1484.0,40.4,59,55,AI4I
298.1,308.0,1426.0,46.0,61,54,AI4I
298.1,308.0,1652.0,28.5,63,53,AI4I
298.0,308.0,1401.0,54.7,65,52,AI4I
298.0,307.9,1750.0,26.6,67,51,AI4I
298.0,308.0,1479.0,50.7,70,50,AI4I
298.0,308.0,1620.0,29.4,75,49,AI4I
298.0,308.1,1819.0,23.4,78,48,AI4I
298.1,308.1,1456.0,43.7,80,47,AI4I
298.1,308.0,1626.0,36.5,83,46,AI4I
298.1,308.1,1390.0,49.8,85,45,AI4I
298.2,308.2,1469.0,43.0,88,44,AI4I
298.2,308.3,2051.0,19.2,90,43,AI4I
298.2,308.3,1568.0,36.0,92,42,AI4I
298.2,308.3,1589.0,33.2,94,41,AI4I
298.2,308.3,1805.0,31.6,96,40,AI4I
298.2,308.4,1385.0,42.2,98,39,AI4I
298.1,308.4,1436.0,46.7,103,38,AI4I
298.1,308.4,1438.0,45.6,105,37,AI4I
298.0,308.3,1473.0,42.6,107,36,AI4I
298.1,308.4,1335.0,40.2,109,35,AI4I
298.1,308.5,1392.0,44.8,111,34,AI4I
298.1,308.5,1372.0,51.1,116,33,AI4I
298.1,308.6,1716.0,30.7,119,32,AI4I
298.0,308.5,1395.0,46.2,122,31,AI4I
298.0,308.5,1713.0,25.3,124,30,AI4I
297.9,308.5,2129.0,18.7,126,29,AI4I
297.8,308.3,1567.0,35.6,131,28,AI4I
297.8,308.4,1622.0,38.3,134,27,AI4I
297.7,308.4,1740.0,27.1,136,26,AI4I
297.8,308.4,1512.0,35.1,138,25,AI4I
297.8,308.4,1479.0,43.5,143,24,AI4I
297.8,308.4,1737.0,27.5,146,23,AI4I
297.8,308.4,2129.0,19.2,148,22,AI4I
297.8,308.4,1374.0,47.1,150,21,AI4I
297.8,308.4,1579.0,36.6,152,20,AI4I
297.9,308.5,1305.0,47.2,155,19,AI4I
297.9,308.5,1449.0,40.8,157,18,AI4I
298.0,308.6,1526.0,41.8,160,17,AI4I
298.0,308.6,1453.0,44.1,165,16,AI4I
297.9,308.6,1468.0,36.0,168,15,AI4I
298.0,308.6,1313.0,50.8,170,14,AI4I
