udi,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,type_enc,temp_diff,power_W,wear_rate,torque_speed_ratio,high_wear_flag,thermal_overload,air_temperature_roll_mean_5,air_temperature_roll_std_5,air_temperature_delta,air_temperature_lag1,process_temperature_roll_mean_5,process_temperature_roll_std_5,process_temperature_delta,process_temperature_lag1,rotational_speed_roll_mean_5,rotational_speed_roll_std_5,rotational_speed_delta,rotational_speed_lag1,torque_roll_mean_5,torque_roll_std_5,torque_delta,torque_lag1,tool_wear_roll_mean_5,tool_wear_roll_std_5,tool_wear_delta,tool_wear_lag1,PC1,PC2,PC3,cluster_raw,health_regime,health_regime_enc
1,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,10.5,6951.590560157351,0.0,0.0275950999177336,0,1,298.1,0.0,0.0,300.00493,308.6,0.0,0.0,310.00556,1551.0,0.0,0.0,1538.7761,42.8,0.0,0.0,39.98691,0.0,0.0,0.0,107.951,-1.0938472407433404,-0.8542097803395631,-1.6664159398681928,1,Normal,0
2,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,10.5,6826.722724152667,0.0021306818166685,0.0328835227039179,0,1,298.15,0.0707106781186507,0.0999999999999659,298.1,308.65,0.0707106781186507,0.0999999999999659,308.6,1479.5,101.1162697096763,-143.0,1551.0,44.55,2.4748737341529163,3.5,42.8,1.5,2.1213203435596424,3.0,0.0,-1.6026784207294809,-0.21576499872794308,-1.6188691902666625,1,Normal,0
3,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,10.399999999999975,7749.387542560967,0.0033377837093873,0.0329773030487467,0,1,298.1333333333334,0.0577350269189469,-0.0999999999999659,298.2,308.6,0.0999999999999801,-0.1999999999999886,308.7,1485.6666666666667,72.29338374521788,90.0,1408.0,46.16666666666666,3.302019584032375,3.1000000000000014,46.3,2.6666666666666665,2.516611478423583,2.0,3.0,-1.5994062876001407,-0.40164128400564,-1.586247502840921,1,Normal,0
4,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,10.400000000000034,5927.504658915661,0.0048848569400663,0.0275645498760889,0,1,298.15,0.0577350269189538,0.0999999999999659,298.1,308.6,0.0816496580927563,0.1000000000000227,308.5,1472.5,64.63487190879755,-65.0,1498.0,44.5,4.287190222045203,-9.9,49.4,3.75,2.9860788111948198,2.0,5.0,-1.2304381678948626,-0.6646040787264573,-1.5550712886842883,1,Normal,0
5,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,10.5,5897.816608339237,0.0063920454500056,0.0284090908889139,0,1,298.16,0.054772255750513,0.0,298.2,308.62,0.0836660026534045,0.0999999999999659,308.6,1459.6,62.970628073729735,-25.0,1433.0,43.6,4.223150482755735,0.5,39.5,4.8,3.492849839314596,2.0,7.0,-1.2898144387342947,-0.5351526384071269,-1.5243185182917207,1,Normal,0
6,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,10.5,6252.554778807084,0.0077192982401969,0.0294035087512957,0,1,298.16,0.054772255750513,-0.0999999999999659,298.2,308.62,0.0836660026534045,-0.0999999999999659,308.7,1434.4,37.17929531338641,17.0,1408.0,43.42,4.284506972803289,1.8999999999999984,40.0,7.0,3.1622776601683795,2.0,9.0,-1.3953888115819109,-0.5437727811881572,-1.4914602130180696,1,Normal,0
7,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,10.5,6917.703247400629,0.0089858793267099,0.0272143773894644,0,1,298.14,0.0547722557505013,0.0,298.1,308.6,0.0707106781186326,0.0,308.6,1464.4,62.46839200747842,133.0,1425.0,42.64,3.972782400283208,0.5,41.9,9.2,3.492849839314596,3.0,11.0,-1.0509677794198493,-0.8911335521590419,-1.4466195142436349,1,Normal,0
8,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,10.5,6428.264055922363,0.0104780615517497,0.0263261296487713,0,1,298.14,0.0547722557505013,0.0,298.1,308.62,0.0447213595500075,0.0,308.6,1470.2,67.51073988633212,-31.0,1558.0,40.8,1.2708265027138923,-2.199999999999996,42.4,11.4,3.646916505762094,2.0,14.0,-1.0275892792852968,-0.9156356164673468,-1.4145720654253437,1,Normal,0
9,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,10.399999999999975,4992.639989035923,0.0107978404254362,0.0171565686759708,0,1,298.16,0.0894427190999818,0.1999999999999886,298.1,308.64,0.054772255750564,0.0999999999999659,308.6,1517.0,105.62433431742892,140.0,1527.0,38.62,5.697543330243311,-11.6,40.2,13.6,3.646916505762094,2.0,16.0,0.018374732531182703,-1.8161065236204892,-1.3875544388745658,2,Degraded,1
10,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,10.5,5104.878622573175,0.012062033307259,0.0160827110763453,0,1,298.22,0.1788854381999675,0.1999999999999886,298.3,308.7,0.1732050807569382,0.3000000000000113,308.7,1583.6,123.23067799862174,74.0,1667.0,36.22,7.278873539222953,-0.6000000000000014,28.6,16.0,3.8078865529319534,3.0,18.0,0.406405553993082,-1.9043378126778978,-1.3463721160242625,2,Degraded,1
