udi,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,type_enc,temp_diff,power_W,wear_rate,torque_speed_ratio,high_wear_flag,thermal_overload,air_temperature_roll_mean_5,air_temperature_roll_std_5,air_temperature_delta,air_temperature_lag1,process_temperature_roll_mean_5,process_temperature_roll_std_5,process_temperature_delta,process_temperature_lag1,rotational_speed_roll_mean_5,rotational_speed_roll_std_5,rotational_speed_delta,rotational_speed_lag1,torque_roll_mean_5,torque_roll_std_5,torque_delta,torque_lag1,tool_wear_roll_mean_5,tool_wear_roll_std_5,tool_wear_delta,tool_wear_lag1
1,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,10.5,6951.590560157351,0.0,0.02759509991773365,0,1,298.1,0.0,0.0,300.00493,308.6,0.0,0.0,310.00556,1551.0,0.0,0.0,1538.7761,42.8,0.0,0.0,39.986909999999995,0.0,0.0,0.0,107.951
2,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,10.5,6826.722724152667,0.0021306818166685498,0.03288352270391795,0,1,298.15,0.07071067811865074,0.0999999999999659,298.1,308.65,0.07071067811865074,0.0999999999999659,308.6,1479.5,101.1162697096763,-143.0,1551.0,44.55,2.4748737341529163,3.5,42.8,1.5,2.1213203435596424,3.0,0.0
3,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,10.399999999999977,7749.387542560967,0.003337783709387327,0.03297730304874679,0,1,298.1333333333334,0.05773502691894699,-0.0999999999999659,298.2,308.59999999999997,0.0999999999999801,-0.19999999999998863,308.7,1485.6666666666667,72.29338374521788,90.0,1408.0,46.166666666666664,3.302019584032375,3.1000000000000014,46.3,2.6666666666666665,2.516611478423583,2.0,3.0
4,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,10.400000000000034,5927.504658915661,0.004884856940066394,0.027564549876088938,0,1,298.15,0.057735026918953825,0.0999999999999659,298.1,308.6,0.08164965809275636,0.10000000000002274,308.5,1472.5,64.63487190879755,-65.0,1498.0,44.5,4.287190222045203,-9.899999999999999,49.4,3.75,2.9860788111948193,2.0,5.0
5,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,10.5,5897.816608339237,0.006392045450005649,0.028409090888913996,0,1,298.15999999999997,0.05477225575051307,0.0,298.2,308.62,0.0836660026534045,0.0999999999999659,308.6,1459.6,62.970628073729735,-25.0,1433.0,43.6,4.223150482755735,0.5,39.5,4.8,3.492849839314596,2.0,7.0
6,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,10.5,6252.554778807084,0.007719298240196983,0.02940350875129578,0,1,298.15999999999997,0.05477225575051307,-0.0999999999999659,298.2,308.62,0.0836660026534045,-0.0999999999999659,308.7,1434.4,37.17929531338641,17.0,1408.0,43.419999999999995,4.284506972803289,1.8999999999999986,40.0,7.0,3.1622776601683795,2.0,9.0
7,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,10.5,6917.703247400629,0.008985879326709962,0.02721437738946445,0,1,298.14,0.05477225575050139,0.0,298.1,308.6,0.07071067811863264,0.0,308.6,1464.4,62.46839200747842,133.0,1425.0,42.64,3.9727824002832084,0.5,41.9,9.2,3.492849839314596,3.0,11.0
8,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,10.5,6428.264055922363,0.010478061551749795,0.026326129648771363,0,1,298.14,0.05477225575050139,0.0,298.1,308.62,0.04472135955000755,0.0,308.6,1470.2,67.51073988633212,-31.0,1558.0,40.8,1.2708265027138925,-2.1999999999999957,42.4,11.4,3.646916505762094,2.0,14.0
9,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,10.399999999999977,4992.639989035923,0.010797840425436208,0.017156568675970863,0,1,298.15999999999997,0.08944271909998187,0.19999999999998863,298.1,308.64,0.05477225575056409,0.0999999999999659,308.6,1517.0,105.62433431742892,140.0,1527.0,38.62,5.697543330243311,-11.600000000000001,40.2,13.6,3.646916505762094,2.0,16.0
10,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,10.5,5104.878622573175,0.012062033307259027,0.01608271107634537,0,1,298.22,0.1788854381999675,0.19999999999998863,298.3,308.7,0.1732050807569382,0.30000000000001137,308.7,1583.6,123.23067799862174,74.0,1667.0,36.22,7.278873539222953,-0.6000000000000014,28.6,16.0,3.8078865529319543,3.0,18.0
